time_tag,soft_flux,hard_flux
2026-06-24 07:46:00+00:00,1.0008724302679184e-06,1.0557455354387457e-08
2026-06-24 07:47:00+00:00,9.837277730184724e-07,8.860784994624282e-09
2026-06-24 07:48:00+00:00,9.705922821012791e-07,9.901010677992872e-09
2026-06-24 07:49:00+00:00,9.572435146765201e-07,9.325850314212403e-09
2026-06-24 07:50:00+00:00,9.571153896104079e-07,8.327670109053997e-09
2026-06-24 07:51:00+00:00,9.530411375635595e-07,8.307770471560616e-09
2026-06-24 07:52:00+00:00,9.518225283500215e-07,9.859532745792876e-09
2026-06-24 07:53:00+00:00,9.4243728199217e-07,8.22941803590993e-09
2026-06-24 07:54:00+00:00,9.275977959077863e-07,7.944528590542177e-09
2026-06-24 07:55:00+00:00,9.16264127681643e-07,9.594919525568457e-09
2026-06-24 07:56:00+00:00,9.09915854663268e-07,1.0185339682777794e-08
2026-06-24 07:57:00+00:00,9.043056934388005e-07,8.756186886671458e-09
2026-06-24 07:58:00+00:00,8.990468813863117e-07,8.117301497634344e-09
2026-06-24 07:59:00+00:00,8.924298526835628e-07,8.664366113464439e-09
2026-06-24 08:00:00+00:00,8.84596602190868e-07,7.782533728573071e-09
2026-06-24 08:01:00+00:00,8.807140829958371e-07,8.157337028080747e-09
2026-06-24 08:02:00+00:00,8.798203907645075e-07,8.76313777098403e-09
2026-06-24 08:03:00+00:00,8.832318485474389e-07,7.734134221948352e-09
2026-06-24 08:04:00+00:00,8.85125871263881e-07,8.026225017943034e-09
2026-06-24 08:05:00+00:00,8.834738309815293e-07,7.68441399401354e-09
2026-06-24 08:06:00+00:00,8.810524150248966e-07,7.693323311741551e-09
2026-06-24 08:07:00+00:00,8.73724275152199e-07,8.961437814036799e-09
2026-06-24 08:08:00+00:00,8.67288576955616e-07,8.075753399339192e-09
2026-06-24 08:09:00+00:00,8.683150554134045e-07,8.047071453631816e-09
2026-06-24 08:10:00+00:00,8.699174713910907e-07,7.466386620080812e-09
2026-06-24 08:11:00+00:00,8.653004783809592e-07,8.98924756853603e-09
2026-06-24 08:12:00+00:00,8.590971560806793e-07,8.893560554668056e-09
2026-06-24 08:13:00+00:00,8.600795240454318e-07,9.41865341275161e-09
2026-06-24 08:14:00+00:00,8.504554784849461e-07,8.48034265032993e-09
2026-06-24 08:15:00+00:00,8.477776987092511e-07,8.360701464482645e-09
2026-06-24 08:16:00+00:00,8.495192673763086e-07,8.372003534873329e-09
2026-06-24 08:17:00+00:00,8.503372441737156e-07,7.617872554988026e-09
2026-06-24 08:18:00+00:00,8.61166142840375e-07,8.758737735092836e-09
2026-06-24 08:19:00+00:00,8.809134897092008e-07,9.593809302543832e-09
2026-06-24 08:20:00+00:00,8.806433697827742e-07,1.0260081673152399e-08
2026-06-24 08:21:00+00:00,8.768542443249316e-07,9.4203391753922e-09
2026-06-24 08:22:00+00:00,8.79888773397397e-07,1.1120175003043187e-08
2026-06-24 08:23:00+00:00,8.785112868281431e-07,1.0204918687861664e-08
2026-06-24 08:24:00+00:00,8.740503858462034e-07,8.444441590427232e-09
2026-06-24 08:25:00+00:00,8.705311529411119e-07,1.0158685448402593e-08
2026-06-24 08:26:00+00:00,8.715424542060646e-07,9.321012406360296e-09
2026-06-24 08:27:00+00:00,8.880280120138195e-07,1.046385289527052e-08
2026-06-24 08:28:00+00:00,9.060109960046248e-07,1.2346656141914991e-08
2026-06-24 08:29:00+00:00,9.033647074829787e-07,1.247825132111302e-08
2026-06-24 08:30:00+00:00,9.020732250064611e-07,1.212843336872993e-08
2026-06-24 08:31:00+00:00,9.017930437948962e-07,1.2234100843500073e-08
2026-06-24 08:32:00+00:00,9.111857366406184e-07,1.2397119775187093e-08
2026-06-24 08:33:00+00:00,9.236808864443447e-07,1.197379351225436e-08
2026-06-24 08:34:00+00:00,9.422544735571137e-07,1.3335977655515308e-08
2026-06-24 08:35:00+00:00,9.746768228069413e-07,1.6113299139419723e-08
2026-06-24 08:36:00+00:00,1.0095546940647182e-06,1.9087471159195957e-08
2026-06-24 08:37:00+00:00,1.0388774853709037e-06,2.3319074671235285e-08
2026-06-24 08:38:00+00:00,1.068615347321611e-06,2.4150910604703313e-08
2026-06-24 08:39:00+00:00,1.09822337890364e-06,2.5250452395653156e-08
2026-06-24 08:40:00+00:00,1.12796908524615e-06,2.6760607951814563e-08
2026-06-24 08:41:00+00:00,1.2286686796869617e-06,3.820164451440178e-08
2026-06-24 08:42:00+00:00,1.3129681519785663e-06,4.593442071154641e-08
2026-06-24 08:43:00+00:00,1.3262343827591394e-06,4.2249613585454426e-08
2026-06-24 08:44:00+00:00,1.2856406783612329e-06,3.394663394828967e-08
2026-06-24 08:45:00+00:00,1.2428072295733728e-06,2.9320164074420063e-08
2026-06-24 08:46:00+00:00,1.2180272506157053e-06,2.6824439558481572e-08
2026-06-24 08:47:00+00:00,1.2043419701512903e-06,2.3778936153462382e-08
2026-06-24 08:48:00+00:00,1.2045271660099388e-06,2.41591244787287e-08
2026-06-24 08:49:00+00:00,1.2279867860343074e-06,2.451531067038104e-08
2026-06-24 08:50:00+00:00,1.2604820085471147e-06,2.919021113712006e-08
2026-06-24 08:51:00+00:00,1.2982119415028137e-06,3.2974522667927886e-08
2026-06-24 08:52:00+00:00,1.3050283769189264e-06,3.408515780733978e-08
2026-06-24 08:53:00+00:00,1.2919814480483183e-06,3.0040123277785824e-08
2026-06-24 08:54:00+00:00,1.2782829799107276e-06,2.7842052219284597e-08
2026-06-24 08:55:00+00:00,1.2630151786652277e-06,2.5357326904895672e-08
2026-06-24 08:56:00+00:00,1.2695354598690756e-06,2.5558279048709664e-08
2026-06-24 08:57:00+00:00,1.281329332414316e-06,2.6530916130695914e-08
2026-06-24 08:58:00+00:00,1.286985821025155e-06,2.6190331681164025e-08
2026-06-24 08:59:00+00:00,1.3029389265284408e-06,2.6757344784300585e-08
2026-06-24 09:00:00+00:00,1.358935264761385e-06,3.194859488075963e-08
2026-06-24 09:01:00+00:00,1.5692426131863613e-06,5.610798226030056e-08
2026-06-24 09:02:00+00:00,1.8519091327107162e-06,8.38267339986487e-08
2026-06-24 09:03:00+00:00,1.935673935804516e-06,8.942934215383502e-08
2026-06-24 09:04:00+00:00,1.839161200223316e-06,6.852831546666494e-08
2026-06-24 09:05:00+00:00,1.7400810747858486e-06,5.445652462299222e-08
2026-06-24 09:06:00+00:00,1.6813135061966022e-06,4.9351939424013835e-08
2026-06-24 09:07:00+00:00,1.6468354715470923e-06,4.6466819725310415e-08
2026-06-24 09:08:00+00:00,1.6368937849620124e-06,4.776994799726708e-08
2026-06-24 09:09:00+00:00,1.6699128764230409e-06,5.236584854628745e-08
2026-06-24 09:10:00+00:00,1.7870636384031968e-06,6.650123651752438e-08
2026-06-24 09:11:00+00:00,1.8809499806593521e-06,7.53060547253881e-08
2026-06-24 09:12:00+00:00,1.8769366079141037e-06,7.057275297484011e-08
2026-06-24 09:13:00+00:00,1.8296288999408716e-06,6.218145642833406e-08
2026-06-24 09:14:00+00:00,1.7638800500208163e-06,5.262889146706584e-08
2026-06-24 09:15:00+00:00,1.7026775367412483e-06,4.6796767350087976e-08
2026-06-24 09:16:00+00:00,1.647091266931966e-06,4.24799466713921e-08
2026-06-24 09:17:00+00:00,1.5907643273749272e-06,3.747236831941336e-08
2026-06-24 09:18:00+00:00,1.5455822222065763e-06,3.674403714626351e-08
2026-06-24 09:19:00+00:00,1.5101686585694551e-06,3.452542074455778e-08
2026-06-24 09:20:00+00:00,1.4803081285208464e-06,3.475092569260596e-08
2026-06-24 09:21:00+00:00,1.4587960777134867e-06,3.449292407253779e-08
2026-06-24 09:22:00+00:00,1.4496472431346774e-06,3.384096913805479e-08
2026-06-24 09:23:00+00:00,1.4554260587829049e-06,3.573143914081811e-08
2026-06-24 09:24:00+00:00,1.4665182561657275e-06,4.085609717208172e-08
2026-06-24 09:25:00+00:00,1.4999855011410546e-06,4.816144638652986e-08
2026-06-24 09:26:00+00:00,1.5225461993395584e-06,5.291287408226708e-08
2026-06-24 09:27:00+00:00,1.5401485597976716e-06,5.208616471463756e-08
2026-06-24 09:28:00+00:00,1.5663662225051667e-06,5.7178194623475065e-08
2026-06-24 09:29:00+00:00,1.6394504882555339e-06,7.164115345403843e-08
2026-06-24 09:30:00+00:00,1.683602590674127e-06,7.228920395618843e-08
2026-06-24 09:31:00+00:00,1.6818298718135338e-06,6.482781600425369e-08
2026-06-24 09:32:00+00:00,1.6599041146037052e-06,5.722959883769363e-08
2026-06-24 09:33:00+00:00,1.637034074519761e-06,5.38440723119038e-08
2026-06-24 09:34:00+00:00,1.6124068906719913e-06,4.9436437166150426e-08
2026-06-24 09:35:00+00:00,1.5917975133561413e-06,4.591197466652375e-08
2026-06-24 09:36:00+00:00,1.5607159866704023e-06,4.243913309665004e-08
2026-06-24 09:37:00+00:00,1.5223773743855418e-06,4.1387753668686855e-08
2026-06-24 09:38:00+00:00,1.4845240912109148e-06,3.908568757537978e-08
2026-06-24 09:39:00+00:00,1.4506738352793036e-06,3.5458082692230164e-08
2026-06-24 09:40:00+00:00,1.4293837011791766e-06,3.3146136502182344e-08
2026-06-24 09:41:00+00:00,1.4233348792913603e-06,3.330433884229933e-08
2026-06-24 09:42:00+00:00,1.4188465229381109e-06,3.393408931628983e-08
2026-06-24 09:43:00+00:00,1.4129745977697894e-06,3.248071678285669e-08
2026-06-24 09:44:00+00:00,1.3887604382034624e-06,3.040341312043893e-08
2026-06-24 09:45:00+00:00,1.3734151025346364e-06,2.9341123308768147e-08
2026-06-24 09:46:00+00:00,1.3668543488165597e-06,3.015612293211234e-08
2026-06-24 09:47:00+00:00,1.352180674984993e-06,2.8865272838629608e-08
2026-06-24 09:48:00+00:00,1.3380712289290386e-06,2.8907157556545826e-08
2026-06-24 09:49:00+00:00,1.323856508861354e-06,2.8348519975907038e-08
2026-06-24 09:50:00+00:00,1.3117753496771911e-06,2.6065453795354188e-08
2026-06-24 09:51:00+00:00,1.3004600987187587e-06,2.6567215982709058e-08
2026-06-24 09:52:00+00:00,1.2820295296478434e-06,2.5665384484341303e-08
2026-06-24 09:53:00+00:00,1.260650151380105e-06,2.5255374680455134e-08
2026-06-24 09:54:00+00:00,1.242834514414426e-06,2.1055770460520762e-08
2026-06-24 09:55:00+00:00,1.2280814871701295e-06,2.1827725404932607e-08
2026-06-24 09:56:00+00:00,1.2218579286127351e-06,2.2003467492481832e-08
2026-06-24 09:57:00+00:00,1.2255694628038327e-06,2.2729846449465185e-08
2026-06-24 09:58:00+00:00,1.221483898916631e-06,2.3378721181188666e-08
2026-06-24 09:59:00+00:00,1.2234019095558324e-06,2.15146780391251e-08
2026-06-24 10:00:00+00:00,1.260301814909326e-06,2.539769994314156e-08
2026-06-24 10:01:00+00:00,1.4424301753024338e-06,4.846432588578864e-08
2026-06-24 10:02:00+00:00,1.7646796095505124e-06,8.022225728154808e-08
2026-06-24 10:03:00+00:00,1.8758152009468176e-06,8.763799286271023e-08
2026-06-24 10:04:00+00:00,1.8637151697475929e-06,7.891298281492709e-08
2026-06-24 10:05:00+00:00,1.815808673200081e-06,6.850747524822509e-08
2026-06-24 10:06:00+00:00,1.7342746332360548e-06,5.6845017581963475e-08
2026-06-24 10:07:00+00:00,1.6495463341925642e-06,4.864439517859864e-08
2026-06-24 10:08:00+00:00,1.584940491738962e-06,4.145901044694256e-08
2026-06-24 10:09:00+00:00,1.4980563491917565e-06,3.51268454323872e-08
